,Datetime,ITM,Product,Instrument,B/S,Price,FillQty,multilegreportingtype,TTOrderId,FirstLeg,SecondLeg,Structure,Algo,Tag,Parent_tag,Parent_firstleg,Tenore,start,id,Hedged,Final_Index
14205,2022-03-01 11:39:16.297,VSI,I,I Apr22,Sell,100.495,-1,2,9a57896a-4f11-4a38-9488-acc01decc3b1,Apr22,Apr22,Outright,COMPLEX,Outright,1mo Spread,Mar22,0,2022-04-01 00:00:00.000,4Jiw181JWhkC8vk3AUMaYI,,I Apr22
14206,2022-03-01 11:39:16.310,VSI,I,I Mar22-Apr22 Calendar,Buy,0.02,1,3,9a57896a-4f11-4a38-9488-acc01decc3b1,Mar22,Apr22,Spread,COMPLEX,1mo Spread,1mo Spread,Mar22,1,2022-03-01 00:00:00.000,4ED8vETrm7DDqUuuh7oqxP,,I Mar22
14207,2022-03-01 11:39:16.310,VSI,I,I Mar22,Buy,100.515,1,2,9a57896a-4f11-4a38-9488-acc01decc3b1,Mar22,Mar22,Outright,COMPLEX,Outright,1mo Spread,Mar22,0,2022-03-01 00:00:00.000,LUOyokI6oAu6YMrZJ9QbDr,,I Mar22
14208,2022-03-01 11:39:16.310,VSI,I,I Apr22,Sell,100.495,-1,2,9a57896a-4f11-4a38-9488-acc01decc3b1,Apr22,Apr22,Outright,COMPLEX,Outright,1mo Spread,Mar22,0,2022-04-01 00:00:00.000,GQD5TYvtOor8amEGU8mjNZ,,I Apr22
14209,2022-03-01 11:39:16.323,VSI,I,I Mar22-Apr22 Calendar,Buy,0.02,1,3,9a57896a-4f11-4a38-9488-acc01decc3b1,Mar22,Apr22,Spread,COMPLEX,1mo Spread,1mo Spread,Mar22,1,2022-03-01 00:00:00.000,ERkgLRJlqhi5A1F1XzLgXm,,I Mar22
14210,2022-03-01 11:39:16.323,VSI,I,I Mar22,Buy,100.515,1,2,9a57896a-4f11-4a38-9488-acc01decc3b1,Mar22,Mar22,Outright,COMPLEX,Outright,1mo Spread,Mar22,0,2022-03-01 00:00:00.000,CYUgBKCtWxV8YmiAJ5po0K,,I Mar22
14211,2022-03-01 11:39:16.323,VSI,I,I Apr22,Sell,100.495,-1,2,9a57896a-4f11-4a38-9488-acc01decc3b1,Apr22,Apr22,Outright,COMPLEX,Outright,1mo Spread,Mar22,0,2022-04-01 00:00:00.000,C89S8lPVnpSEPA1bnGrfj4,,I Apr22
14212,2022-03-01 11:39:16.353,VSI,I,I Mar22-Apr22 Calendar,Buy,0.02,1,3,9a57896a-4f11-4a38-9488-acc01decc3b1,Mar22,Apr22,Spread,COMPLEX,1mo Spread,1mo Spread,Mar22,1,2022-03-01 00:00:00.000,5gtlpN2wHGxGZpSpZxP5p3,,I Mar22
14213,2022-03-01 11:39:16.353,VSI,I,I Mar22,Buy,100.515,1,2,9a57896a-4f11-4a38-9488-acc01decc3b1,Mar22,Mar22,Outright,COMPLEX,Outright,1mo Spread,Mar22,0,2022-03-01 00:00:00.000,3CMnlY8aHxiIlcPSHRglkC,,I Mar22
14214,2022-03-01 11:39:16.353,VSI,I,I Apr22,Sell,100.495,-1,2,9a57896a-4f11-4a38-9488-acc01decc3b1,Apr22,Apr22,Outright,COMPLEX,Outright,1mo Spread,Mar22,0,2022-04-01 00:00:00.000,DF7KcQTg47eLFRtZmn8N4h,,I Apr22
14215,2022-03-01 11:39:16.427,VSI,I,I Mar22-Apr22 Calendar,Buy,0.02,5,3,9a57896a-4f11-4a38-9488-acc01decc3b1,Mar22,Apr22,Spread,COMPLEX,1mo Spread,1mo Spread,Mar22,1,2022-03-01 00:00:00.000,80W7m65QUxCCpruTS35DuP,,I Mar22
